epoch,loss,mean_iou,val_loss,val_mean_iou
0,0.433654734,0.5314112,0.548604282,0.604189217
1,0.229833566,0.6348289,0.30089678,0.668935657
2,0.176660148,0.68730724,0.18701549,0.705050349
3,0.133410849,0.71849304,0.142841592,0.731932342
4,0.114360045,0.74254966,0.111534417,0.752560675
5,0.11875904,0.76041967,0.127804782,0.766476393
6,0.104531954,0.77224255,0.104507621,0.778351605
7,0.094100938,0.78381246,0.090233646,0.789310515
8,0.092039263,0.7937195,0.082535293,0.798070133
9,0.08892396,0.8018815,0.086191233,0.805558205
10,0.083884081,0.80899984,0.079041805,0.812264442
11,0.085388941,0.8151288,0.078372084,0.817824841
12,0.080078371,0.82051665,0.071706768,0.823087811
13,0.08191285,0.8253207,0.07502846,0.827406764
14,0.084294027,0.8291637,0.083869335,0.830927551
15,0.078244142,0.83262557,0.075785386,0.834269345
16,0.073784852,0.8359306,0.072260427,0.837573826
17,0.072861947,0.83911437,0.071139675,0.840690732
18,0.075632974,0.8419846,0.068990622,0.843307376
19,0.076056405,0.8444582,0.075464624,0.845678806
20,0.078931143,0.84655964,0.080917642,0.847530544
21,0.073692617,0.84864455,0.081432667,0.849583924
22,0.070134999,0.85055304,0.071083096,0.851543546
23,0.066094944,0.85251445,0.074673878,0.853535295
24,0.064814613,0.8543939,0.070134129,0.855290532
25,0.059761906,0.8562334,0.068739647,0.857240796
26,0.059503025,0.8582045,0.068123913,0.859074235
27,0.060008367,0.85995674,0.067925366,0.860764802
28,0.058593533,0.86159134,0.067877142,0.862408817
29,0.059532043,0.8631485,0.067692039,0.863897681
30,0.059671773,0.8645856,0.067488429,0.865304112
31,0.058015409,0.86600703,0.067994726,0.866679311
32,0.057664437,0.86731017,0.067773106,0.867976189
33,0.058252713,0.8685915,0.067287494,0.869201303
34,0.059648865,0.8697627,0.067850391,0.870280385
35,0.058952158,0.8708084,0.068235707,0.871336162
36,0.056277776,0.8718746,0.067020637,0.872414768
37,0.056191811,0.87290806,0.067822006,0.873452544
38,0.054901389,0.8739674,0.067350878,0.874438882
39,0.055907178,0.8749102,0.067970241,0.875374973
40,0.055827953,0.8757968,0.067178852,0.876242161
41,0.055933234,0.8766664,0.067517829,0.877107799
42,0.055729456,0.8775176,0.067454016,0.877920449
43,0.055672881,0.87832433,0.067306032,0.878720462
44,0.054480952,0.8790765,0.067226477,0.879481971
45,0.05667021,0.8798477,0.06739533,0.880179882
46,0.054773639,0.8805026,0.06753488,0.880889773
47,0.05467442,0.8812053,0.067464728,0.881551147
48,0.054268631,0.8819001,0.067409103,0.882216454
49,0.055043819,0.88251424,0.067296328,0.882834733
50,0.055699244,0.88313496,0.067269893,0.883415043
51,0.054650812,0.8837238,0.067286126,0.883993626
